"value_column","statistic_edible_parts","p_value_edible_parts","significance_edible_parts","statistic_location","p_value_location","significance_location","statistic_species_part_location","p_value_species_part_location","significance_species_part_location","statistic_domesticated_wilcox","p_value_domesticated_wilcox","significance_domesticated_wilcox","statistic_edible_domesticated","p_value_edible_domesticated","significance_edible_domesticated"
"AVERAGE_Carbohydrate_DW_g_per_100_g",38.528768588137,0.0111669376193772,"significant",29.9582264752791,0.000870222387747311,"significant",71.6312280701754,0.456697631003935,"not statistically significant",334,0.081975512197118,"not statistically significant",46.0642974101922,0.00434892865608955,"significant"
"AVERAGE_Carbohydrate_FW_g_per_100_g",44.2257209690894,0.00218581006834891,"significant",25.6898118022328,0.00418054900696424,"significant",73.980701754386,0.381132378919908,"not statistically significant",383,0.00849409420476498,"significant",53.4818663324979,0.000499524607810286,"significant"
"AVERAGE_Protein_DW_percent",35.6164800389484,0.024134788141729,"significant",28.6678714339863,0.0014099534545585,"significant",76.3317104836092,0.371965899418971,"not statistically significant",394,0.0112468084962706,"significant",44.0262252515417,0.00757656882436848,"significant"
"AVERAGE_Protein_FW_percent",19.2003023910208,0.572292540742009,"not statistically significant",23.1455580219744,0.0102218648440485,"significant",74.4556360830741,0.430619746154223,"not statistically significant",432,0.00137615021935208,"significant",27.2670336957774,0.292160628468317,"not statistically significant"
"AVERAGE_Fat_DW_percent",35.4468245614035,0.0178496221693763,"significant",31.8748654152865,0.000420122392058423,"significant",70.7543859649123,0.452296543527174,"not statistically significant",110,0.0202247837447227,"significant",37.4333859649123,0.0292709570000277,"significant"
"AVERAGE_Fat_FW_percent",29.6288273165108,0.076095382678865,"not statistically significant",16.6955525166555,0.0813779735877173,"not statistically significant",68.3647519607006,0.532995824337575,"not statistically significant",291,0.338974433646073,"not statistically significant",36.7284525429279,0.0347058634949705,"significant"
"AVERAGE_Ash_DW_percent",53.1817502820667,0.000129519371187276,"significant",34.746791864416,0.000137914939739217,"significant",76.8860759493671,0.35530108270573,"not statistically significant",152,0.0932881548484938,"not statistically significant",55.1960394738876,0.000294546654717147,"significant"
"AVERAGE_Ash_FW_percent",42.5060146311237,0.0036324923010493,"significant",34.3887530714562,0.000158678066906583,"significant",75.5342235935827,0.396503825957958,"not statistically significant",254,0.930343939081541,"not statistically significant",43.0302747498251,0.00986827324060712,"significant"
"AVERAGE_Carotenoid_total_DW_mg_per_kg",11.9523809523809,0.102135761762127,"not statistically significant",5.18571428571428,0.074806003026485,"not statistically significant",13,0.447811674319492,"not statistically significant",6,0.0328973916454907,"significant",12.1904761904762,0.142905501902557,"not statistically significant"
"AVERAGE_Carotenoid_total_FW_mg_per_kg",10.8095238095238,0.147146002550684,"not statistically significant",5.44444444444445,0.0657285286165303,"not statistically significant",13,0.447811674319492,"not statistically significant",5,0.0234105961611167,"significant",11.2761904761905,0.186535552595084,"not statistically significant"
"AVERAGE_Vit_B1_DW_mg_per_kg",18.5832315832316,0.0689973347595147,"not statistically significant",15.25,0.0329250103143832,"significant",24.4529914529915,0.435952936801024,"not statistically significant",0,0.109598583399116,"not statistically significant",18.5832315832316,0.0689973347595147,"not statistically significant"
"AVERAGE_Vit_B1_FW_mg_per_kg",18.3367928367928,0.0740876899956179,"not statistically significant",7.80769230769231,0.349856616420307,"not statistically significant",24.6923076923077,0.422632168763034,"not statistically significant",19,0.423710797166793,"not statistically significant",18.3367928367928,0.0740876899956179,"not statistically significant"
"AVERAGE_Vit_C_DW_mg_per_kg",12.4344086021505,0.411451928768602,"not statistically significant",7.45120967741936,0.488822049230291,"not statistically significant",27.5725806451613,0.487260585902508,"not statistically significant",69,0.850892208310239,"not statistically significant",12.4350806451613,0.492330154099365,"not statistically significant"
"AVERAGE_Vit_C_FW_mg_per_kg",13.0698924731183,0.363981139345075,"not statistically significant",4.51209677419355,0.808221645923301,"not statistically significant",27.508064516129,0.490730023239328,"not statistically significant",72,0.727009731456113,"not statistically significant",14.0403225806452,0.371010395780597,"not statistically significant"
"AVERAGE_P_DW_mg_per_100_g",20.7634071117562,0.144560380765797,"not statistically significant",21.3028872071325,0.0190777642248127,"significant",50.7793904208999,0.403296921827539,"not statistically significant",181,0.537478242567044,"not statistically significant",22.3138909046928,0.172946946182989,"not statistically significant"
"AVERAGE_P_FW_mg_per_100_g",30.2858490566038,0.0109314848238747,"significant",22.2131712626996,0.01405470287098,"significant",50.921625544267,0.39788535736281,"not statistically significant",222,0.0861908987586597,"not statistically significant",31.0255200774069,0.0198299953376957,"significant"
"AVERAGE_Mg_DW_mg_per_100_g",30.023737494998,0.0118361882628731,"significant",21.4630834879407,0.0180861341189558,"significant",47.9575510204082,0.39335030648526,"not statistically significant",120,0.44896428043818,"not statistically significant",30.1070708283314,0.017454874135405,"significant"
"AVERAGE_Mg_FW_mg_per_100_g",26.9246258503401,0.0293565050373053,"significant",18.3704304267162,0.0490273589606446,"significant",47.7551020408163,0.401268932050639,"not statistically significant",180,0.353111234506006,"not statistically significant",28.1828571428571,0.0300654277679583,"significant"
"AVERAGE_Ca_DW_mg_per_100_g",53.2163737809308,0.000128046109880121,"significant",39.1915559610788,2.35004739681731e-05,"significant",76.9591041869523,0.353131357292991,"not statistically significant",215,0.563995986875233,"not statistically significant",54.5064743976137,0.000364700701635925,"significant"
"AVERAGE_Ca_FW_mg_per_100_g",47.8991167060787,0.000709729254581606,"significant",37.9795400639607,3.82641996372614e-05,"significant",76.3307367737747,0.371995464092741,"not statistically significant",299,0.38205528483509,"not statistically significant",48.7892822367506,0.00201302622717297,"significant"
"AVERAGE_Zn_DW_mg_per_100_g",35.2026769292592,0.0268222355305403,"significant",22.659453269872,0.0120758429487435,"significant",76.983446932814,0.35240947424061,"not statistically significant",149,0.083496549984525,"not statistically significant",36.4773929305575,0.0492995041557138,"significant"
"AVERAGE_Zn_FW_mg_per_100_g",40.2129720023269,0.00700550757751068,"significant",17.964159161905,0.0555712434094118,"not statistically significant",76.5225515735519,0.366190985292167,"not statistically significant",271,0.700523931152203,"not statistically significant",41.7465194702278,0.0137739851417286,"significant"
"AVERAGE_Fe_DW_mg_per_100_g",56.4200553314477,4.37720565214305e-05,"significant",47.0051350142879,9.42243061008555e-07,"significant",76.6384290814671,0.362703767617467,"not statistically significant",144,0.0690396027663243,"not statistically significant",56.8831517287214,0.000173545917633721,"significant"
"AVERAGE_Fe_FW_mg_per_100_g",50.4369352869353,0.000317048755825542,"significant",40.5632053438285,1.34805622268104e-05,"significant",76.2489451476793,0.374482471843905,"not statistically significant",208,0.484369249192013,"not statistically significant",51.6679317166659,0.000864242992615349,"significant"
"AVERAGE_HCN_DWppm",21.9835772357724,0.0556167579668392,"not statistically significant",15.2656430155211,0.122672950233694,"not statistically significant",35.8243902439024,0.52405520801605,"not statistically significant",32,0.00313267287323988,"significant",22.2177235772358,0.074250045255267,"not statistically significant"
"AVERAGE_HCN_FWppm",17.3280894308943,0.184736498530735,"not statistically significant",14.0012195121951,0.172935989423281,"not statistically significant",34.4292682926829,0.590178786654689,"not statistically significant",50,0.0206844720157599,"significant",17.4597967479675,0.232502010059311,"not statistically significant"
"AVERAGE_Phytate_DW_mg_per_g",12.2488888888889,0.507348248048115,"not statistically significant",20.6568531468531,0.0236175791698071,"significant",37.9384615384615,0.381021631739025,"not statistically significant",146,0.0702942294187668,"not statistically significant",12.2488888888889,0.507348248048115,"not statistically significant"
"AVERAGE_Phytate_FW_mg_per_g",20.1904273504273,0.0905626553139958,"not statistically significant",21.2705477855478,0.0192840434621175,"significant",36.7641025641026,0.433309920163155,"not statistically significant",158,0.0227796928098559,"significant",20.1904273504273,0.0905626553139958,"not statistically significant"
"AVERAGE_Oxalate_DW_percent_wb",20.6432576539388,0.0802908789800409,"not statistically significant",22.7710718215081,0.0116238709582554,"significant",33.8141476686368,0.61920016035159,"not statistically significant",13,0.000282444127906842,"significant",23.2127060074429,0.0568954282357775,"not statistically significant"
"AVERAGE_Oxalate_FW_percent_wb",17.0434552845528,0.197325158373907,"not statistically significant",12.9733259423504,0.225167020228642,"not statistically significant",32.8487804878049,0.664055045551529,"not statistically significant",54,0.0299074798118223,"significant",19.3300406504065,0.15271756589923,"not statistically significant"
"AVERAGE_Tanin_DW_mg_as._Tanic_per_g",19.959047127623,0.096236122558285,"not statistically significant",15.3418189067711,0.120087793705678,"not statistically significant",38.8097382493667,0.388078821296566,"not statistically significant",59.5,0.0481964679480596,"significant",24.1887121993933,0.043473969787867,"significant"
"AVERAGE_Tanin_FW_mg_as._Tanic_per_g",17.8089430894309,0.164909442018588,"not statistically significant",14.0824390243903,0.169264413363885,"not statistically significant",38.8487804878049,0.386398438814517,"not statistically significant",72,0.125868759960572,"not statistically significant",21.7930894308943,0.0829669778784505,"not statistically significant"
"AVERAGE_Water_content_FW_percent",48.5810822089303,0.000572791720670832,"significant",28.2562781587125,0.0016422769566833,"significant",76.704641350211,0.360717820857187,"not statistically significant",97,0.00829478167376771,"significant",52.6701117447953,0.000639308887356968,"significant"
